AlwaysCooperate                    TitForTat
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
1                    1
