Random-Discrete.parameter, Random-Discrete.points, Adapt-Discrete.parameter, Adapt-Discrete.points
4, 15.80, 0, 8.00
4, 16.40, 0, 6.00
4, 16.70, 0, 5.00
4, 17.60, 0, 2.00
4, 16.10, 0, 7.00
4, 16.10, 0, 7.00
4, 16.10, 0, 7.00
4, 17.30, 0, 3.00
4, 16.10, 0, 7.00
4, 15.50, 0, 9.00
4, 16.40, 0, 6.00
4, 15.80, 0, 8.00
4, 17.60, 0, 2.00
4, 16.40, 0, 6.00
4, 16.10, 0, 7.00
4, 17.00, 0, 4.00
4, 16.40, 0, 6.00
4, 16.70, 0, 5.00
4, 17.00, 0, 4.00
4, 16.10, 0, 7.00
4, 15.80, 0, 8.00
4, 16.70, 0, 5.00
4, 15.20, 0, 10.00
4, 17.30, 0, 3.00
4, 15.80, 0, 8.00
4, 16.40, 0, 6.00
4, 15.50, 0, 9.00
4, 16.70, 0, 5.00
4, 16.40, 0, 6.00
4, 17.30, 0, 3.00
4, 16.40, 0, 6.00
4, 16.40, 0, 6.00
4, 16.70, 0, 5.00
4, 17.60, 0, 2.00
4, 14.90, 0, 11.00
4, 16.40, 0, 6.00
4, 15.50, 0, 9.00
4, 16.70, 0, 5.00
4, 16.40, 0, 6.00
4, 17.90, 0, 1.00
4, 17.30, 0, 3.00
4, 16.40, 0, 6.00
4, 15.50, 0, 9.00
4, 17.00, 0, 4.00
4, 16.70, 0, 5.00
4, 15.50, 0, 9.00
4, 17.60, 0, 2.00
4, 17.00, 0, 4.00
4, 17.60, 0, 2.00
4, 17.90, 0, 1.00
4, 16.70, 0, 5.00
4, 16.70, 0, 5.00
4, 16.70, 0, 5.00
4, 16.40, 0, 6.00
4, 16.70, 0, 5.00
4, 14.30, 0, 13.00
4, 16.10, 0, 7.00
4, 16.40, 0, 6.00
4, 16.70, 0, 5.00
4, 17.30, 0, 3.00
4, 17.30, 0, 3.00
4, 16.40, 0, 6.00
4, 17.00, 0, 4.00
4, 16.10, 0, 7.00
4, 16.70, 0, 5.00
4, 15.80, 0, 8.00
4, 16.40, 0, 6.00
4, 15.50, 0, 9.00
4, 16.40, 0, 6.00
4, 16.70, 0, 5.00
4, 17.00, 0, 4.00
4, 17.00, 0, 4.00
4, 17.30, 0, 3.00
4, 16.10, 0, 7.00
4, 17.00, 0, 4.00
4, 17.00, 0, 4.00
4, 16.70, 0, 5.00
4, 15.80, 0, 8.00
4, 16.40, 0, 6.00
4, 17.60, 0, 2.00
4, 17.00, 0, 4.00
4, 16.10, 0, 7.00
4, 16.70, 0, 5.00
4, 16.10, 0, 7.00
4, 16.10, 0, 7.00
4, 15.20, 0, 10.00
4, 14.60, 0, 12.00
4, 17.00, 0, 4.00
4, 16.70, 0, 5.00
5, 16.10, 0, 7.00
5, 16.70, 0, 5.00
5, 16.70, 0, 5.00
5, 18.20, 0, -0.00
5, 16.40, 0, 6.00
5, 17.90, 0, 1.00
5, 16.40, 0, 6.00
5, 16.70, 0, 5.00
5, 17.30, 0, 3.00
5, 17.30, 0, 3.00
5, 16.40, 0, 6.00
5, 17.60, 0, 2.00
5, 16.10, 0, 7.00
5, 17.30, 0, 3.00
5, 16.40, 0, 6.00
5, 17.00, 0, 4.00
5, 16.10, 0, 7.00
5, 17.60, 0, 2.00
5, 17.90, 0, 1.00
5, 16.70, 0, 5.00
5, 17.30, 0, 3.00
